Pos,Clube,V,E,D,SG,Pts,gol_pro,gol_con,gol_pro_pj,gol_con_pj,aprov,gol_pro/med,gol_con/med,campeão,rebaixou,Liberta
12,EC Vitória,7,4,8,-2,25,27,29,1.4210,1.5260,0.4386,0.9712,1.0432,0,0,0
13,Clube Atlético Paranaense,7,3,9,-8,24,21,29,1.1050,1.5260,0.4211,0.7554,1.0432,0,0,0
14,Cruzeiro EC,6,4,9,-9,22,19,28,1.0000,1.4740,0.3860,0.6835,1.0072,0,0,1
15,Botafogo FR,4,9,6,-5,21,26,31,1.3680,1.6320,0.3684,0.9353,1.1151,0,0,0
16,Coritiba FC,5,4,10,-6,19,26,32,1.3680,1.6840,0.3333,0.9353,1.1511,0,1,0
17,Esporte Clube Santo André (SP),4,6,9,-8,18,21,29,1.1050,1.5260,0.3158,0.7554,1.0432,0,1,0
18,Náutico,4,6,9,-15,18,22,37,1.1580,1.9470,0.3158,0.7914,1.3309,0,1,0
19,Fluminense FC,3,6,10,-11,15,21,32,1.1050,1.6840,0.2632,0.7554,1.1511,0,0,0
20,Sport Recife,3,4,12,-13,13,24,37,1.2630,1.9470,0.2281,0.8633,1.3309,0,1,0
1,Fluminense FC,11,5,3,16,38,32,16,1.6840,0.8420,0.6667,1.3734,0.6867,1,0,1
2,SC Corinthians,11,4,4,13,37,34,21,1.7890,1.1050,0.6491,1.4592,0.9013,0,0,1
3,Santos FC,10,4,5,8,34,30,22,1.5790,1.1580,0.5965,1.2876,0.9442,0,0,0
4,SC Internacional,9,4,6,4,31,24,20,1.2630,1.0530,0.5439,1.0300,0.8584,0,0,0
5,Botafogo FR,8,7,4,10,31,30,20,1.5790,1.0530,0.5439,1.2876,0.8584,0,0,1
6,Cruzeiro EC,8,7,4,5,31,22,17,1.1580,0.8950,0.5439,0.9442,0.7296,0,0,1
7,CR Vasco da Gama,7,8,4,3,29,21,18,1.1050,0.9470,0.5088,0.9013,0.7725,0,0,0
8,Clube Atlético Paranaense,8,3,8,-5,27,23,28,1.2110,1.4740,0.4737,0.9871,1.2017,0,0,1
9,Guarani FC,6,8,5,-2,26,22,24,1.1580,1.2630,0.4561,0.9442,1.0300,0,1,0
10,São Paulo FC,6,7,6,0,25,25,25,1.3160,1.3160,0.4386,1.0730,1.0730,0,0,0
11,Ceará SC,6,7,6,0,25,15,15,0.7890,0.7890,0.4386,0.6438,0.6438,0,0,0
12,SE Palmeiras,5,9,5,-1,24,21,22,1.1050,1.1580,0.4211,0.9013,0.9442,0,0,0
13,Avaí FC,6,5,8,-1,23,28,29,1.4740,1.5260,0.4035,1.2017,1.2446,0,0,0
14,CR Flamengo,5,7,7,-1,22,14,15,0.7370,0.7890,0.3860,0.6009,0.6438,0,0,0
15,EC Vitória,5,7,7,-4,22,22,26,1.1580,1.3680,0.3860,0.9442,1.1159,0,1,0
16,Grêmio FBPA,4,8,7,-3,20,23,26,1.2110,1.3680,0.3509,0.9871,1.1159,0,0,1
17,Atlético Mineiro,5,2,12,-11,17,23,34,1.2110,1.7890,0.2982,0.9871,1.4592,0,0,0
18,Atlético Goianiense,4,5,10,-4,17,22,26,1.1580,1.3680,0.2982,0.9442,1.1159,0,0,0
